fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,symbol,totalRevenue,grossProfit,operatingIncome,netIncome,grossMargin,operatingMargin,netMargin,event_id_x,ticker,revenue_growth,margin_trend,profitability,revenue_growth_regime,eps_surprise_regime,profitability_regime,margin_trend_regime,financial_strength_regime,event_id_reported,event_id_y,CAR_m1_p1,CAR_m2_p2,CAR_m5_p5,CAR_p5_p20,eps_bin2
2019-03-31,2019-04-30,0.62,0.59,0.03,5.0847,post-market,AAPL,58015000000,21821000000,13415000000,11561000000,0.3761268637421356,0.2312333017323106,0.1992760492975954,AAPL_2019-03-31,AAPL,-0.3118847111849128,-0.0375286002101734,0.2312333017323106,negative_growth,moderate_positive,medium,contraction,mixed,AAPL_2019-04-30,AAPL_2019-04-30,0.0485935751976323,0.050116682731283696,0.027620210736047496,-0.041063030834408897,1
2019-06-30,2019-07-30,0.55,0.53,0.02,3.7736,post-market,AAPL,53809000000,20227000000,11544000000,10044000000,0.3759036592391607,0.2145366016837332,0.1866602241260755,AAPL_2019-06-30,AAPL,-0.0724984917693699,-0.0126158251715199,0.2145366016837332,negative_growth,moderate_positive,medium,contraction,mixed,AAPL_2019-07-30,AAPL_2019-07-30,0.0506839684066843,0.0346460448642468,0.025249986355907104,0.0203586336819437,1
2019-09-30,2019-10-30,0.76,0.71,0.05,7.0423,post-market,AAPL,64040000000,24313000000,15625000000,13686000000,0.3796533416614616,0.2439881324172392,0.2137101811367895,AAPL_2019-09-30,AAPL,0.1901354791949301,0.027049957010714,0.2439881324172392,high_growth,moderate_positive,medium,expansion,mixed,AAPL_2019-10-30,AAPL_2019-10-30,0.00026621509599139906,0.013663313338132498,0.013812455159343998,0.005494639048672499,1
2019-12-31,2020-01-28,1.25,1.14,0.11,9.6491,post-market,AAPL,91819000000,35217000000,25569000000,22236000000,0.3835480673934588,0.2784717759940753,0.2421720994565395,AAPL_2019-12-31,AAPL,0.4337757651467833,0.02846191831975,0.2784717759940753,high_growth,moderate_positive,high,expansion,strong_fundamentals,AAPL_2020-01-28,AAPL_2020-01-28,0.0191652893671069,0.0117283360987087,-0.009254860043428001,-0.0543941133789187,1
2020-03-31,2020-04-30,0.64,0.56,0.08,14.2857,post-market,AAPL,58313000000,22370000000,12853000000,11249000000,0.3836194330595236,0.2204139728705434,0.1929072419529093,AAPL_2020-03-31,AAPL,-0.3649135799780002,-0.0492648575036302,0.2204139728705434,negative_growth,large_positive,medium,contraction,mixed,AAPL_2020-04-30,AAPL_2020-04-30,0.0290642075063434,0.034292834269123204,0.0272942850851168,-0.0025892674142000013,1
2020-06-30,2020-07-30,0.65,0.51,0.14,27.451,post-market,AAPL,59685000000,22680000000,13091000000,11253000000,0.3799949736114602,0.2193348412498952,0.1885398341291781,AAPL_2020-06-30,AAPL,0.0235282012587245,-0.0043674078237311,0.2193348412498952,moderate_growth,large_positive,medium,stable,mixed,AAPL_2020-07-30,AAPL_2020-07-30,0.091621586232267,0.0890757715772147,0.1045620576779427,0.030108683941056102,1
2020-09-30,2020-10-29,0.73,0.7,0.03,4.2857,post-market,AAPL,64698000000,24689000000,14775000000,12673000000,0.3816037590033695,0.2283687285542057,0.1958793162076107,AAPL_2020-09-30,AAPL,0.0839909525006283,0.0073394820784326,0.2283687285542057,moderate_growth,moderate_positive,medium,expansion,mixed,AAPL_2020-10-29,AAPL_2020-10-29,-0.009867230604387399,-0.007676004104806698,-0.0020965056076371023,-0.0248900185491822,1
2020-12-31,2021-01-27,1.68,1.42,0.26,18.3099,post-market,AAPL,111439000000,44328000000,33534000000,28755000000,0.3977781566596972,0.3009179910085338,0.258033543014564,AAPL_2020-12-31,AAPL,0.7224489165043742,0.0621542268069532,0.3009179910085338,high_growth,large_positive,high,expansion,strong_fundamentals,AAPL_2021-01-27,AAPL_2021-01-27,-0.015204383751692897,-0.009680279752246291,-0.009689722987657993,-0.09125625707812819,1
2021-03-31,2021-04-28,1.4,0.98,0.42,42.8571,post-market,AAPL,89584000000,38079000000,27503000000,23630000000,0.4250647437042329,0.30700794784783,0.2637747812109305,AAPL_2021-03-31,AAPL,-0.1961162609140426,0.0057412381963665,0.30700794784783,negative_growth,large_positive,high,expansion,strong_fundamentals,AAPL_2021-04-28,AAPL_2021-04-28,-0.00124739381707,-0.0113034450455405,0.0085159998194627,0.016821508060927602,1
2021-06-30,2021-07-27,1.3,1.01,0.29,28.7129,post-market,AAPL,81434000000,35255000000,24126000000,21744000000,0.4329272785323084,0.296264459562345,0.2670137780288332,AAPL_2021-06-30,AAPL,-0.090976067154849,0.0032389968179026,0.296264459562345,negative_growth,large_positive,high,stable,mixed,AAPL_2021-07-27,AAPL_2021-07-27,-0.012379716801917,-0.008199113840370099,0.0052269006651148,0.039792954779740396,1
2021-09-30,2021-10-28,1.24,1.24,0.0,0.0,post-market,AAPL,83360000000,35174000000,23786000000,20551000000,0.4219529750479846,0.2853406909788867,0.2465331094049904,AAPL_2021-09-30,AAPL,0.0236510548419579,-0.0204806686238427,0.2853406909788867,moderate_growth,small,high,contraction,mixed,AAPL_2021-10-28,AAPL_2021-10-28,-0.0182349437020066,-0.017361558277351398,-0.037090158994369495,-0.0005616202682406021,0
2021-12-31,2022-01-27,2.1,1.89,0.21,11.1111,post-market,AAPL,123945000000,54243000000,41488000000,34630000000,0.4376376618661503,0.3347291137197951,0.2793981201339304,AAPL_2021-12-31,AAPL,0.4868642034548944,0.0328650107289399,0.3347291137197951,high_growth,large_positive,high,expansion,strong_fundamentals,AAPL_2022-01-27,AAPL_2022-01-27,0.04117613891134078,0.05285375864965558,0.025724109570197884,-0.0048217866429708,1
