symbol,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,netIncome,grossMargin,operatingMargin,netMargin
AAPL,2014-06-30,37432000000,14735000000,10282000000,7748000000,0.3936471468262449,0.2746847617012182,0.2069886727933319
AAPL,2014-03-31,45646000000,17947000000,13593000000,10223000000,0.3931779345397187,0.2977917013538974,0.22396266923717303
AAPL,2013-12-31,57594000000,21846000000,17463000000,13072000000,0.3793103448275862,0.3032086675695385,0.2269680869535021
AAPL,2013-09-30,37472000000,13871000000,10030000000,7512000000,0.3701697267292912,0.2676665243381725,0.20046968403074295
AAPL,2013-06-30,35323000000,13024000000,9201000000,6900000000,0.36871160433711747,0.2604818390283951,0.19534014664666083
AAPL,2013-03-31,43603000000,16349000000,12558000000,9547000000,0.37495126482122787,0.2880077058917964,0.2189528243469486
AAPL,2012-12-31,54512000000,21060000000,17210000000,13078000000,0.3863369533313766,0.3157103023187555,0.2399104784267684
AAPL,2012-09-30,37472000000,13871000000,10030000000,7512000000,0.3701697267292912,0.2676665243381725,0.20046968403074295
AAPL,2012-06-30,35023000000,14994000000,11573000000,8824000000,0.42811866487736633,0.3304399965736802,0.2519487194129572
AAPL,2012-03-31,39186000000,18564000000,15384000000,11622000000,0.4737406216505895,0.3925891900168427,0.2965855152350329
AAPL,2011-12-31,46333000000,20703000000,17340000000,13064000000,0.4468305527377895,0.37424729674314205,0.28195886301340295
AAPL,2011-09-30,28270000000,11380000000,8710000000,6623000000,0.4025468694729395,0.30810045985143264,0.23427661832331093
AAPL,2011-06-30,28571000000,11922000000,9379000000,7308000000,0.41727625914388716,0.32826992404886074,0.25578383675755134
AAPL,2011-03-31,24667000000,10218000000,7874000000,5987000000,0.4142376454372238,0.31921190254185755,0.24271293631167146
AAPL,2010-12-31,26741000000,10298000000,7827000000,6004000000,0.38510152948655624,0.2926966082046296,0.22452413896264165
AAPL,2010-09-30,20343000000,7512000000,5447000000,4308000000,0.36926706975372364,0.26775795113798356,0.2117681757852824
AAPL,2010-06-30,15700000000,6136000000,4234000000,3253000000,0.390828025477707,0.2696815286624204,0.20719745222929936
AAPL,2010-03-31,13499000000,5625000000,3979000000,3074000000,0.41669753315060376,0.29476257500555597,0.22772057189421438
AAPL,2009-12-31,15683000000,6411000000,4725000000,3378000000,0.40878658419945163,0.3012816425428808,0.21539246317668814
