ticker,event_date,surprise,regime,VIX
GOOGL,2016-04-21,-0.0235,0,13.95
AAPL,2016-04-26,-0.025,0,13.96
NVDA,2016-05-12,0.0,0,14.41
AAPL,2016-07-26,0.01,0,13.05
GOOGL,2016-07-28,0.019,0,12.72
NVDA,2016-08-11,0.001,0,11.68
AAPL,2016-10-25,0.0025,0,13.46
GOOGL,2016-10-27,0.0215,2,15.36
NVDA,2016-11-10,0.007,2,14.74
GOOGL,2017-01-26,-0.0145,2,10.63
AAPL,2017-01-31,0.0375,2,11.99
NVDA,2017-02-09,0.004,0,10.88
GOOGL,2017-04-27,0.017,0,10.36
AAPL,2017-05-02,0.02,0,10.59
NVDA,2017-05-09,0.004,0,9.96
GOOGL,2017-07-24,0.026,0,9.43
AAPL,2017-08-01,0.025,0,10.09
NVDA,2017-08-10,0.006,0,16.04
GOOGL,2017-10-26,0.062,0,11.3
AAPL,2017-11-02,0.05,0,9.93
NVDA,2017-11-09,0.009,0,10.5
AAPL,2018-02-01,0.0075,0,13.47
GOOGL,2018-02-01,-0.014,0,13.47
NVDA,2018-02-08,0.01,2,33.46
GOOGL,2018-04-23,0.2025,0,16.34
AAPL,2018-05-01,0.01,0,15.49
NVDA,2018-05-10,0.011,0,13.23
GOOGL,2018-07-23,-0.2525,0,12.62
AAPL,2018-07-31,0.04,0,12.83
NVDA,2018-08-16,0.005,0,13.45
GOOGL,2018-10-25,0.132,0,24.22
AAPL,2018-11-01,0.03,0,19.34
NVDA,2018-11-15,-0.001,0,19.98
AAPL,2019-01-29,0.01,0,19.13
GOOGL,2019-02-04,0.0975,0,15.73
NVDA,2019-02-14,0.001,0,16.22
GOOGL,2019-04-29,-0.0555,0,13.11
AAPL,2019-04-30,0.03,0,13.12
NVDA,2019-05-16,0.002,0,15.29
GOOGL,2019-07-25,0.1455,0,12.74
AAPL,2019-07-30,0.02,0,13.94
NVDA,2019-08-15,0.002,0,21.18
GOOGL,2019-10-28,-0.115,0,13.11
AAPL,2019-10-30,0.05,0,12.33
NVDA,2019-11-14,0.006,2,13.05
AAPL,2020-01-28,0.11,0,16.28
GOOGL,2020-02-03,0.141,0,17.97
NVDA,2020-02-13,-0.0027,0,14.15
GOOGL,2020-04-28,-0.02,1,33.57
AAPL,2020-04-30,0.08,1,34.15
NVDA,2020-05-21,0.003,1,29.53
AAPL,2020-07-30,0.14,0,24.76
GOOGL,2020-07-30,0.1,0,24.76
NVDA,2020-08-19,0.006,0,22.54
AAPL,2020-10-29,0.03,2,37.59
GOOGL,2020-10-29,0.26,2,37.59
NVDA,2020-11-18,0.009,2,23.84
AAPL,2021-01-27,0.26,2,37.21
GOOGL,2021-02-02,0.33,2,25.56
NVDA,2021-02-24,-0.0025,2,21.34
GOOGL,2021-04-27,0.53,2,17.56
AAPL,2021-04-28,0.42,2,17.28
NVDA,2021-05-26,0.0093,0,17.36
AAPL,2021-07-27,0.29,0,19.36
GOOGL,2021-07-27,0.4,0,19.36
NVDA,2021-08-18,0.002,0,21.57
GOOGL,2021-10-26,0.23,2,15.98
AAPL,2021-10-28,0.0,2,16.53
NVDA,2021-11-17,0.006,2,17.11
AAPL,2022-01-27,0.21,2,30.49
GOOGL,2022-02-01,0.17,2,21.96
NVDA,2022-02-16,0.009,2,24.29
GOOGL,2022-04-26,-0.06,2,33.52
AAPL,2022-04-28,0.09,2,29.99
NVDA,2022-05-25,0.006,2,28.37
GOOGL,2022-07-26,-0.06,0,24.69
AAPL,2022-07-28,0.05,0,22.33
NVDA,2022-08-24,0.0011,2,22.82
GOOGL,2022-10-25,-0.19,2,28.46
AAPL,2022-10-27,0.02,2,27.39
NVDA,2022-11-16,-0.013,2,24.11
AAPL,2023-02-02,-0.07,0,18.73
GOOGL,2023-02-02,-0.14,0,18.73
NVDA,2023-02-22,0.007,0,22.29
GOOGL,2023-04-25,0.1,0,18.76
AAPL,2023-05-04,0.09,0,20.09
NVDA,2023-05-24,0.017,0,20.03
GOOGL,2023-07-25,0.1,0,13.86
AAPL,2023-08-03,0.07,2,15.92
NVDA,2023-08-23,0.063,0,15.98
GOOGL,2023-10-24,0.1,2,18.97
AAPL,2023-11-02,0.07,0,15.66
NVDA,2023-11-21,0.066,0,13.35
GOOGL,2024-01-30,0.04,0,13.31
AAPL,2024-02-01,0.07,0,13.88
NVDA,2024-02-21,0.055,0,15.34
GOOGL,2024-04-25,0.38,0,15.37
AAPL,2024-05-02,0.03,2,14.68
NVDA,2024-05-22,0.053,0,12.29
GOOGL,2024-07-23,0.04,0,14.72
AAPL,2024-08-01,0.06,0,18.59
NVDA,2024-08-28,0.05,0,17.11
GOOGL,2024-10-29,0.27,0,19.34
AAPL,2024-10-31,0.02,0,23.16
NVDA,2024-11-20,0.06,0,17.16
AAPL,2025-01-30,0.06,0,15.84
GOOGL,2025-02-04,0.02,0,17.21
NVDA,2025-02-26,0.04,0,19.1
GOOGL,2025-04-24,0.8,0,26.47
AAPL,2025-05-01,0.03,0,24.6
NVDA,2025-05-28,0.06,0,19.31
GOOGL,2025-07-23,0.12,0,15.37
AAPL,2025-07-31,0.14,0,16.72
NVDA,2025-08-27,0.04,0,14.85
GOOGL,2025-10-29,0.55,0,16.92
AAPL,2025-10-30,0.09,0,16.91
NVDA,2025-11-19,0.06,0,23.66
