ticker,smonth,oprice,cprice,svol
GOOGL,2020-03-01,67.57,58.1,1570716000
GOOGL,2020-04-01,56.2,67.33,1124224000
GOOGL,2020-05-01,66.2,71.68,725130000
GOOGL,2020-06-01,71.29,70.9,814160000
GOOGL,2020-07-01,70.96,74.4,822998000
GOOGL,2020-08-01,74.55,81.48,614564000
GOOGL,2020-09-01,81.61,73.28,836634000
GOOGL,2020-10-01,74.18,80.81,854920000
GOOGL,2020-11-01,81.18,87.72,631912000
GOOGL,2020-12-01,88.33,87.63,608630000
GOOGL,2021-01-01,88,91.37,791662000
GOOGL,2021-02-01,92.23,101.1,678324000
GOOGL,2021-03-01,102.4,103.13,756694000
GOOGL,2021-04-01,104.61,117.68,702352000
GOOGL,2021-05-01,118.25,117.84,603480000
GOOGL,2021-06-01,118.72,122.09,544936000
GOOGL,2021-07-01,121.72,134.73,610808000
GOOGL,2021-08-01,135.12,144.7,461586000
GOOGL,2021-09-01,145,133.68,590840000
GOOGL,2021-10-01,134.45,148.05,720758000
GOOGL,2021-11-01,148.05,141.9,608378000
GOOGL,2021-12-01,144,144.85,619694000
GOOGL,2022-01-01,145.05,135.3,767206000
GOOGL,2022-02-01,137.59,135.06,928126000
GOOGL,2022-03-01,134.88,139.07,729162000
GOOGL,2022-04-01,139.5,114.11,761152000
GOOGL,2022-05-01,113.4,113.76,850450000
GOOGL,2022-06-01,114.86,108.96,770754000
GOOGL,2022-07-01,107.93,116.32,789529700
GOOGL,2022-08-01,115.3,108.22,515852700
GOOGL,2022-09-01,108.28,95.65,613278900
GOOGL,2022-10-01,96.76,94.51,681488300
GOOGL,2022-11-01,95.45,100.99,716522700
GOOGL,2022-12-01,101.02,88.23,603127800
GOOGL,2023-01-01,89.59,98.84,672897800
GOOGL,2023-02-01,98.71,90.06,952580200
GOOGL,2023-03-01,89.98,103.73,859933900
GOOGL,2023-04-01,102.39,107.34,604106300
GOOGL,2023-05-01,106.84,122.87,820611200
GOOGL,2023-06-01,122.82,119.7,656851900
GOOGL,2023-07-01,119.24,132.72,708341900
GOOGL,2023-08-01,130.78,136.17,593329000
GOOGL,2023-09-01,137.46,130.86,477599300
GOOGL,2023-10-01,131.21,124.08,680747700
GOOGL,2023-11-01,124.07,132.53,535233300
GOOGL,2023-12-01,131.86,139.69,619995600
GOOGL,2024-01-01,138.55,140.1,581871000
GOOGL,2024-02-01,142.12,138.46,647623800
GOOGL,2024-03-01,138.43,150.93,672715700
GOOGL,2024-04-01,150.69,162.78,659848400
GOOGL,2024-05-01,164.3,172.5,542386500
GOOGL,2024-06-01,172.54,182.15,460108700
GOOGL,2024-07-01,183.03,171.54,526128300
GOOGL,2024-08-01,170.25,163.38,550739500
GOOGL,2024-09-01,161.72,165.85,532543100
GOOGL,2024-10-01,167.69,171.11,569309100
GOOGL,2024-11-01,170.07,168.95,529919300
GOOGL,2024-12-01,168.77,189.3,645610200
GOOGL,2025-01-01,190.65,204.02,500334600
GOOGL,2025-02-01,200.69,170.28,629376900
GOOGL,2025-03-01,171.93,154.64,732152300
GOOGL,2025-04-01,153.62,158.8,842648300
GOOGL,2025-05-01,160.45,171.74,942494200
GOOGL,2025-06-01,167.84,176.23,847382400
GOOGL,2025-07-01,175.74,191.9,860114400
GOOGL,2025-08-01,189.03,212.91,617570900
GOOGL,2025-09-01,208.44,243.1,829465500
GOOGL,2025-10-01,240.75,281.19,729575900
GOOGL,2025-11-01,282.18,320.18,855278300
GOOGL,2025-12-01,317.7,313,678208700
GOOGL,2026-01-01,316.9,338,621586400
GOOGL,2026-02-01,336.22,333.04,138623500
