ticker,event_day,abnormal_return,caar
GOOGL,-1,0.0016916739289811768,0.02833072336179839
GOOGL,0,0.0036192406514185464,0.03194996401321693
GOOGL,1,-0.0014217723802927421,0.030528191632924192
GOOGL,2,-0.0023047048880731674,0.028223486744851024
GOOGL,3,-0.00539237124781152,0.022831115497039506
GOOGL,4,-0.01804452431434179,0.004786591182697711
GOOGL,5,0.001593028796760962,0.006379619979458673
GOOGL,6,-0.0035203143727714535,0.002859305606687219
GOOGL,7,-0.002949143224975016,-8.983761828779699e-05
GOOGL,8,-0.0005080265602649047,-0.0005978641785527017
GOOGL,9,-0.0013324969186155641,-0.0019303610971682659
GOOGL,10,-0.00022261470098495687,-0.002152975798153223
GOOGL,11,-0.004777886470050119,-0.006930862268203342
GOOGL,12,0.009805228729195873,0.002874366460992531
GOOGL,13,-0.0005229248796673834,0.002351441581325148
GOOGL,14,-0.0009374397852631505,0.0014140017960619974
GOOGL,15,0.0022551161874964946,0.003669117983558492
GOOGL,16,-0.001938700669125155,0.001730417314433337
GOOGL,17,0.0008441514743762965,0.0025745687888096332
GOOGL,18,-0.0016357334175664616,0.0009388353712431719
GOOGL,19,0.006241041978795308,0.00717987735003848
GOOGL,20,0.0014924664540482586,0.008672343804086739
NVDA,-20,0.004283760731928615,0.004283760731928615
NVDA,-19,-0.0002845042825929023,0.003999256449335712
NVDA,-18,0.00770194466988703,0.011701201119222742
NVDA,-16,0.0030658231001673975,0.01476702421939014
NVDA,-15,-0.0008157946263783287,0.01395122959301181
NVDA,-14,0.00027969632319615806,0.014230925916207969
NVDA,-13,-0.0005702253863303342,0.013660700529877634
NVDA,-12,0.001997746972473423,0.01565844750235106
NVDA,-11,-0.01930559873113259,-0.0036471512287815297
NVDA,-9,0.00789694102776505,0.00424978979898352
NVDA,-8,0.003235272299749914,0.007485062098733434
NVDA,-7,-0.0006847859584875942,0.00680027614024584
NVDA,-6,0.005088501346569416,0.011888777486815256
NVDA,-5,0.00044844852243576885,0.012337226009251025
NVDA,-4,-0.005658475196988083,0.0066787508122629425
NVDA,-2,0.0013159646471118563,0.007994715459374798
NVDA,-1,0.00038134937749076403,0.008376064836865562
NVDA,0,0.0011532073011539345,0.009529272138019497
NVDA,1,0.0244851245569718,0.034014396694991296
NVDA,2,-0.01400451214422966,0.020009884550761636
NVDA,3,-0.01802408149173106,0.001985803059030577
NVDA,5,-0.011088803274049248,-0.009103000215018671
NVDA,6,0.00299039286866737,-0.006112607346351301
NVDA,7,-0.005383485120078056,-0.011496092466429358
NVDA,8,-0.004594185632983149,-0.016090278099412506
NVDA,9,-0.007944743068327924,-0.02403502116774043
NVDA,10,-0.007543014747461533,-0.03157803591520196
NVDA,12,0.006219814456116102,-0.02535822145908586
NVDA,13,0.002120545989830841,-0.02323767546925502
NVDA,14,0.0075285954159044904,-0.01570908005335053
NVDA,15,0.006403278274832682,-0.009305801778517848
NVDA,16,-0.008348164273116443,-0.01765396605163429
NVDA,17,0.008426186103285127,-0.009227779948349163
NVDA,19,-0.006809085158313725,-0.016036865106662888
NVDA,20,0.0003965815764082432,-0.015640283530254644
