event_id,ticker,date,event_day,abnormal_return
NVDA_2012-02-15,NVDA,2012-03-01,15,-0.011369022773135685
NVDA_2012-02-15,NVDA,2012-03-02,16,0.007156217082691775
NVDA_2012-02-15,NVDA,2012-03-05,19,-0.012262178335983523
NVDA_2012-02-15,NVDA,2012-03-06,20,0.021915287851835892
NVDA_2012-05-11,NVDA,2012-05-01,-10,-0.0001607501432815397
NVDA_2012-05-11,NVDA,2012-05-02,-9,-0.03271628636659105
NVDA_2012-05-11,NVDA,2012-05-03,-8,0.016560493442845176
NVDA_2012-05-11,NVDA,2012-05-04,-7,-0.0006839472091498405
NVDA_2012-05-11,NVDA,2012-05-07,-4,0.0009477342118978572
NVDA_2012-05-11,NVDA,2012-05-08,-3,0.00658064592739225
NVDA_2012-05-11,NVDA,2012-05-09,-2,0.006630856132939409
NVDA_2012-05-11,NVDA,2012-05-10,-1,0.0020380818369480124
NVDA_2012-05-11,NVDA,2012-05-11,0,0.06600452531967398
NVDA_2012-05-11,NVDA,2012-05-14,3,0.015308762724811463
NVDA_2012-05-11,NVDA,2012-05-15,4,0.005488884810668179
NVDA_2012-05-11,NVDA,2012-05-16,5,-0.01994136083437474
NVDA_2012-05-11,NVDA,2012-05-17,6,0.02866519619951276
NVDA_2012-05-11,NVDA,2012-05-18,7,-0.044925943055355404
NVDA_2012-05-11,NVDA,2012-05-21,10,0.0031267524085185905
NVDA_2012-05-11,NVDA,2012-05-22,11,-0.02700565643456228
NVDA_2012-05-11,NVDA,2012-05-23,12,0.02988282267270052
NVDA_2012-05-11,NVDA,2012-05-24,13,-0.025827672927833684
NVDA_2012-05-11,NVDA,2012-05-25,14,0.03574171330350046
NVDA_2012-05-11,NVDA,2012-05-29,18,0.01860853077838244
NVDA_2012-05-11,NVDA,2012-05-30,19,-0.01456625046104314
NVDA_2012-05-11,NVDA,2012-05-31,20,0.00612479545217757
NVDA_2012-08-09,NVDA,2012-07-30,-10,-0.02194828004504796
NVDA_2012-08-09,NVDA,2012-07-31,-9,0.035087354331366484
NVDA_2012-08-09,NVDA,2012-08-01,-8,-0.01868902932209281
NVDA_2012-08-09,NVDA,2012-08-02,-7,0.037006577445101226
NVDA_2012-08-09,NVDA,2012-08-03,-6,-0.024913659413714186
NVDA_2012-08-09,NVDA,2012-08-06,-3,0.02136076887017905
NVDA_2012-08-09,NVDA,2012-08-07,-2,-0.009746689062811597
NVDA_2012-08-09,NVDA,2012-08-08,-1,0.03252773840249189
NVDA_2012-08-09,NVDA,2012-08-09,0,0.026387658725226852
NVDA_2012-08-09,NVDA,2012-08-10,1,0.0009170769949746293
NVDA_2012-08-09,NVDA,2012-08-13,4,0.0011666549493042084
NVDA_2012-08-09,NVDA,2012-08-14,5,-0.022662192840476332
NVDA_2012-08-09,NVDA,2012-08-15,6,-0.004302739626912432
NVDA_2012-08-09,NVDA,2012-08-16,7,0.015748376013828717
NVDA_2012-08-09,NVDA,2012-08-17,8,-0.004320287738308577
NVDA_2012-08-09,NVDA,2012-08-20,11,0.0020701299817836418
NVDA_2012-08-09,NVDA,2012-08-21,12,0.005809958495302001
NVDA_2012-08-09,NVDA,2012-08-22,13,-0.0009010566844689131
NVDA_2012-08-09,NVDA,2012-08-23,14,-0.016269895727961947
NVDA_2012-08-09,NVDA,2012-08-24,15,0.022476343660827614
NVDA_2012-08-09,NVDA,2012-08-27,18,-0.0266095097700558
NVDA_2012-08-09,NVDA,2012-08-28,19,0.00017891530068117633
NVDA_2012-08-09,NVDA,2012-08-29,20,0.00013750496081344128
NVDA_2012-11-08,NVDA,2012-10-31,-8,0.005750794972615115
NVDA_2012-11-08,NVDA,2012-11-01,-7,0.01345316999033153
NVDA_2012-11-08,NVDA,2012-11-02,-6,0.018544611698927134
NVDA_2012-11-08,NVDA,2012-11-05,-3,0.056767956744817764
NVDA_2012-11-08,NVDA,2012-11-06,-2,-0.005198587882955669
NVDA_2012-11-08,NVDA,2012-11-07,-1,0.005670706772570491
NVDA_2012-11-08,NVDA,2012-11-08,0,0.020884463424964857
NVDA_2012-11-08,NVDA,2012-11-09,1,-0.06644064739973721
NVDA_2012-11-08,NVDA,2012-11-12,4,0.0009340069343970778
NVDA_2012-11-08,NVDA,2012-11-13,5,0.010636515802523516
NVDA_2012-11-08,NVDA,2012-11-14,6,-0.014363364104302619
NVDA_2012-11-08,NVDA,2012-11-15,7,0.0055786647765001
NVDA_2012-11-08,NVDA,2012-11-16,8,-0.04198637249250709
NVDA_2012-11-08,NVDA,2012-11-19,11,0.004890557381443818
NVDA_2012-11-08,NVDA,2012-11-20,12,0.0003362452175517778
NVDA_2012-11-08,NVDA,2012-11-21,13,0.03029163367299599
NVDA_2012-11-08,NVDA,2012-11-23,15,-0.01900261827609007
NVDA_2012-11-08,NVDA,2012-11-26,18,-0.0041383611945635
NVDA_2012-11-08,NVDA,2012-11-27,19,0.004941232344353454
NVDA_2012-11-08,NVDA,2012-11-28,20,0.022440603682721376
NVDA_2013-02-13,NVDA,2013-02-04,-9,-0.011265095631151797
NVDA_2013-02-13,NVDA,2013-02-05,-8,0.01863493213648857
NVDA_2013-02-13,NVDA,2013-02-06,-7,0.003009521542367527
NVDA_2013-02-13,NVDA,2013-02-07,-6,0.0031113808491949058
NVDA_2013-02-13,NVDA,2013-02-08,-5,-0.009818955949683574
NVDA_2013-02-13,NVDA,2013-02-11,-2,0.002509610432275893
NVDA_2013-02-13,NVDA,2013-02-12,-1,0.003964562624476837
NVDA_2013-02-13,NVDA,2013-02-13,0,-0.002396128456412571
NVDA_2013-02-13,NVDA,2013-02-14,1,0.033310687597045155
NVDA_2013-02-13,NVDA,2013-02-15,2,0.004406589450956118
NVDA_2013-02-13,NVDA,2013-02-19,6,-0.03810630629680435
NVDA_2013-02-13,NVDA,2013-02-20,7,0.021286622854602637
NVDA_2013-02-13,NVDA,2013-02-21,8,0.015032070523611666
NVDA_2013-02-13,NVDA,2013-02-22,9,-0.010591001096699824
NVDA_2013-02-13,NVDA,2013-02-25,12,0.020146027262630754
NVDA_2013-02-13,NVDA,2013-02-26,13,-0.0037218793967106418
NVDA_2013-02-13,NVDA,2013-02-27,14,0.02073058000967868
NVDA_2013-02-13,NVDA,2013-02-28,15,0.0025977454462303
NVDA_2013-02-13,NVDA,2013-03-01,16,-0.0020917044222937588
NVDA_2013-02-13,NVDA,2013-03-04,19,-0.0031826622026257323
NVDA_2013-02-13,NVDA,2013-03-05,20,-0.015112719576867148
NVDA_2013-05-09,NVDA,2013-04-29,-10,-0.009434610697296869
