date,stock_return,market_return,expected_return,ar,rel_day,ticker,event_date_aligned,alpha,beta,surprise,car_0_t
2023-07-14,-0.01115375149811629,-0.00021114010916034733,0.0011514375433273121,-0.012305189041443601,34,NVDA,2023-05-24,0.0015136819702854356,1.7156589924987773,0.017,0.11732655631355858
2023-07-17,0.02153895950534392,0.009295289120361023,0.017461228337508874,0.004077731167835046,35,NVDA,2023-05-24,0.0015136819702854356,1.7156589924987773,0.017,0.12140428748139362
2023-07-18,0.021927435218767378,0.008147394349649048,0.015491832351694552,0.006435602867072825,36,NVDA,2023-05-24,0.0015136819702854356,1.7156589924987773,0.017,0.12783989034846646
2023-07-19,-0.00867088016895456,-0.0002332362650557594,0.0011135280747656935,-0.009784408243720254,37,NVDA,2023-05-24,0.0015136819702854356,1.7156589924987773,0.017,0.1180554821047462
2023-07-20,-0.033696492574000335,-0.023321890580669132,-0.03849872932651209,0.004802236752511756,38,NVDA,2023-05-24,0.0015136819702854356,1.7156589924987773,0.017,0.12285771885725795
2023-07-21,-0.0269414046066774,-0.003003736216418613,-0.0036397050805074115,-0.02330169952616999,39,NVDA,2023-05-24,0.0015136819702854356,1.7156589924987773,0.017,0.09955601933108796
2023-07-24,0.006747663928775279,0.0015962046505897769,0.004252224832938155,0.002495439095837124,40,NVDA,2023-05-24,0.0015136819702854356,1.7156589924987773,0.017,0.10205145842692508
2023-07-25,0.023702516207581473,0.006754627030603907,0.01310231857631634,0.010600197631265133,41,NVDA,2023-05-24,0.0015136819702854356,1.7156589924987773,0.017,0.11265165605819022
2023-07-26,-0.0050477447242668625,-0.0033319361640434045,-0.004202784271987513,-0.0008449604522793499,42,NVDA,2023-05-24,0.0015136819702854356,1.7156589924987773,0.017,0.11180669560591086
2023-07-27,0.00985229644301164,-0.0023869460602693906,-0.0025815035026252727,0.012433799945636911,43,NVDA,2023-05-24,0.0015136819702854356,1.7156589924987773,0.017,0.12424049555154777
2023-07-28,0.018349138668196617,0.018050867732505714,0.03248281551796488,-0.01413367684976826,44,NVDA,2023-05-24,0.0015136819702854356,1.7156589924987773,0.017,0.11010681870177952
2023-07-31,-0.0004278990223612579,0.0005212952872184257,0.0024080469175489605,-0.0028359459399102185,45,NVDA,2023-05-24,0.0015136819702854356,1.7156589924987773,0.017,0.1072708727618693
2023-08-01,-0.004719013476329092,-0.0023221968389577656,-0.00247041591882469,-0.0022485975575044018,46,NVDA,2023-05-24,0.0015136819702854356,1.7156589924987773,0.017,0.1050222752043649
2023-08-02,-0.049360096491955836,-0.0221884705569819,-0.03655416707059491,-0.012805929421360926,47,NVDA,2023-05-24,0.0015136819702854356,1.7156589924987773,0.017,0.09221634578300397
2023-08-03,0.0056312796632944796,-0.001603890221871259,-0.001238046711848849,0.006869326375143328,48,NVDA,2023-05-24,0.0015136819702854356,1.7156589924987773,0.017,0.0990856721581473
2023-08-04,0.003587447793655719,-0.004692767398541876,-0.006537506616728027,0.010124954410383746,49,NVDA,2023-05-24,0.0015136819702854356,1.7156589924987773,0.017,0.10921062656853105
2023-08-07,0.016426562476412544,0.00843099148338039,0.015978388324427606,0.0004481741519849376,50,NVDA,2023-05-24,0.0015136819702854356,1.7156589924987773,0.017,0.10965880072051598
2023-08-08,-0.016874290265400698,-0.008538656773331488,-0.013135741306741326,-0.003738548958659372,51,NVDA,2023-05-24,0.0015136819702854356,1.7156589924987773,0.017,0.10592025176185661
2023-08-09,-0.04839839139262861,-0.01105532754733411,-0.017453490151317783,-0.030944901241310826,52,NVDA,2023-05-24,0.0015136819702854356,1.7156589924987773,0.017,0.07497535052054578
